QUADRANT,FULLADDRESS,ZIPCODE,BEDRM,BATHRM,KITCHENS,PRICE
NW,921 R STREET NW,20001.0,3,3,2.0,1800000.0
NW,1220 10TH STREET NW,20001.0,2,2,1.0,710000.0
NW,208 N STREET NW,20001.0,2,2,1.0,715000.0
SW,1233 CARROLLSBURG PLACE SW,20024.0,2,2,1.0,758000.0
SW,1255 CARROLLSBURG PLACE SW,20024.0,2,2,2.0,187535.0
NW,1924 11TH STREET NW,20001.0,3,2,2.0,975000.0
NW,1916 11TH STREET NW,20001.0,4,2,1.0,1320000.0
NW,1922 11TH STREET NW,20001.0,4,2,2.0,1900000.0
NW,1901 12TH STREET NW,20009.0,2,1,1.0,925000.0
NW,1000 M STREET NW,20001.0,8,3,1.0,399900.0
NW,921 W STREET NW,20001.0,2,1,1.0,705000.0
NW,927 W STREET NW,20001.0,2,1,1.0,659000.0
NW,925 W STREET NW,20001.0,2,1,1.0,680000.0
NW,2233 10TH STREET NW,20001.0,2,2,1.0,710000.0
NW,1719 4TH STREET NW,20001.0,4,2,2.0,1150000.0
NW,1708 3RD STREET NW,20001.0,4,2,2.0,988000.0
SW,619 I STREET SW,20024.0,4,2,1.0,910000.0
NW,613 RHODE ISLAND AVENUE NW,20001.0,2,1,1.0,640000.0
NW,1115 S STREET NW,20009.0,4,2,2.0,850000.0
NW,1121 S STREET NW,20009.0,2,1,1.0,899000.0
NW,1825 12TH STREET NW,20009.0,3,1,1.0,1120000.0
NW,1835 12TH STREET NW,20009.0,2,1,1.0,1200000.0
NW,1757 CHURCH STREET NW,20036.0,6,4,4.0,1170000.0
NW,1738 CHURCH STREET NW,20036.0,3,2,1.0,1500000.0
NW,1737 CHURCH STREET NW,20036.0,4,2,2.0,1150000.0
NW,1342 T STREET NW,20009.0,4,2,2.0,1305000.0
NW,1820 13TH STREET NW,20009.0,5,5,2.0,2213000.0
NW,1464 T STREET NW,20009.0,3,3,1.0,1354500.0
NW,1460 T STREET NW,20009.0,3,2,1.0,1060000.0
NW,1432 T STREET NW,20009.0,2,2,1.0,1100000.0
NW,1453 SWANN STREET NW,20009.0,2,1,2.0,1175000.0
NW,1900 R STREET NW,20009.0,6,3,1.0,1600000.0
NW,1640 19TH STREET NW,20009.0,5,4,2.0,1625000.0
NW,1812 FLORIDA AVENUE NW,20009.0,3,3,3.0,1203000.0
NW,1710 P STREET NW,20036.0,6,3,2.0,1775000.0
NW,1706 P STREET NW,20036.0,5,3,2.0,1776500.0
NW,1639 V STREET NW,20009.0,3,1,1.0,727500.0
NW,1314 S STREET NW,20009.0,4,4,1.0,2180000.0
NW,1319 RIGGS STREET NW,20009.0,5,2,1.0,1225000.0
NW,1449 SWANN STREET NW,20009.0,2,2,1.0,900000.0
NW,1712 15TH STREET NW,20009.0,7,3,2.0,1100000.0
NW,1821 1/2 SWANN STREET NW,20009.0,4,3,2.0,1700000.0
NW,1827 S STREET NW,20009.0,3,2,1.0,1800000.0
NW,1816 SWANN STREET NW,20009.0,3,2,2.0,1165000.0
NW,2113 12TH PLACE NW,20009.0,3,2,1.0,876780.0
NW,2003 13TH STREET NW,20009.0,6,6,3.0,1800000.0
NW,1909 13TH STREET NW,20009.0,6,3,2.0,1200000.0
NW,1136 25TH STREET NW,20037.0,4,4,1.0,2765000.0
NW,1804 S STREET NW,20009.0,5,3,2.0,1250000.0
NW,1719 19TH STREET NW,20009.0,4,4,2.0,3000000.0
NW,1319 T STREET NW,20009.0,4,3,2.0,1665000.0
NW,2030 16TH STREET NW,20009.0,6,5,2.0,1875000.0
NW,2034 16TH STREET NW,20009.0,5,2,1.0,2300000.0
NW,2527 QUEEN ANNES LANE NW,20037.0,3,2,1.0,1055000.0
NW,2522 QUEEN ANNES LANE NW,20037.0,3,2,1.0,1082000.0
NW,2526 QUEEN ANNES LANE NW,20037.0,2,2,1.0,826000.0
NW,909 26TH STREET NW,20037.0,2,3,2.0,1340000.0
NW,1804 RIGGS PLACE NW,20009.0,4,3,1.0,1201000.0
NW,1832 CORCORAN STREET NW,20009.0,4,3,2.0,1750000.0
NW,1409 HOPKINS STREET NW,20036.0,4,4,4.0,1515000.0
NW,1334 WALLACH PLACE NW,20009.0,3,1,1.0,740000.0
NW,1349 WALLACH PLACE NW,20009.0,3,1,1.0,1250000.0
NW,1307 WALLACH PLACE NW,20009.0,3,2,1.0,1075000.0
NW,1711 RIGGS PLACE NW,20009.0,5,3,3.0,1900000.0
NW,2529 I STREET NW,20037.0,2,2,1.0,1000000.0
NW,2019 N STREET NW,20036.0,6,5,1.0,2995000.0
NW,1308 WALLACH PLACE NW,20009.0,3,2,1.0,1350000.0
NW,1419 S STREET NW,20009.0,3,1,1.0,1205000.0
NW,1738 R STREET NW,20009.0,6,4,2.0,2350000.0
NW,1520 T STREET NW,20009.0,4,2,2.0,1681000.0
NW,1518 T STREET NW,20009.0,2,2,1.0,1449000.0
NW,18 SNOWS COURT NW,20037.0,2,1,1.0,590000.0
NW,1266 NEW HAMPSHIRE AVENUE NW,20036.0,5,3,2.0,1700000.0
NW,1766 T STREET NW,20009.0,3,2,1.0,1090000.0
NW,1727 S STREET NW,20009.0,6,3,2.0,1877000.0
NW,1402 S STREET NW,20009.0,2,2,1.0,1890000.0
NW,1526 SWANN STREET NW,20009.0,5,4,1.0,1940000.0
